;;;;;;
I saw Mommy Kissing Santa Claus;The Jackson 5;https://www.youtube.com/watch?v=PITCmngiMfA;;;;
Please Daddy  Don't Get Drunk This Christmas;John Denver;https://www.youtube.com/watch?v=Li8GrxE1jfg;;;;
My Mom and Santa Claus ;George Jones;https://www.youtube.com/watch?v=PbmTRZEKM4o;;;;
Santa Looked a Lot Like Daddy;Buck Owens;https://www.youtube.com/watch?v=y_LSPB6HyHo;;;;
Merry Christmas Baby;Ike and Tina Turner;https://www.youtube.com/watch?v=6LxeGQnQPeM;;;;
I Believe in Father Christmas;Greg Lake;https://www.youtube.com/watch?v=RXCEdrnaFlY;;;;
Daddy's Drinking Up Our Christmas;Commander Cody;https://www.youtube.com/watch?v=NHg1OxDFk1k;;;;
Mary’s Boy Child;Harry Belafonte;https://www.youtube.com/watch?v=WY3o4_iIudg;;;;
Father Christmas;The Kinks;https://www.youtube.com/watch?v=Ni04_SF-HRQ;;;;
Merry Christmas from the Family;Robert Earl Keen;https://www.youtube.com/watch?v=TS682UIPcqs;;;;
There’s no place like home for the holidays;Bing Crosby;https://www.youtube.com/watch?v=amnRSB-RBVw;;;;
Christmas Baby Please Come Home;Darlene Love;https://www.youtube.com/watch?v=UV8x7H3DD8Y;;;;
Back Door Santa;Clarence Carter;https://www.youtube.com/watch?v=s0NoalRsk5w;;;;
Little Drummer Boy;David Bowie and Bing Crosby;https://www.youtube.com/watch?v=ADbJLo4x-tk;;;;
Grandma was run over by Santa;Elmo and Patsy;https://www.youtube.com/watch?v=MgIwLeASnkw;;;;
Santa Claus got stuck in my chimney;Ella Fitzgerald;https://www.youtube.com/watch?v=PbmHsRdqoMw;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
